order_line_id,order_id,order_date,customer_id,repeat_customer,region,channel,acquisition_source,campaign,category,size,color,print_type,design_theme,dtf_supplier,dtf_area_cm2,dtf_cost_per_cm2_ars,base_cost_ars,labor_cost_ars,packaging_cost_ars,shipping_method,shipping_cost_ars,units,price_list_unit_ars,discount_pct,unit_price_final_ars,order_total_ars,cogs_unit_ars,profit_unit_ars,profit_total_ars,delivery_time_days,payment_method,was_returned,defect_type,customer_rating
206,198,2024-01-06,CUST0328,0,Quilmes,WhatsApp,Google Search,Ninguna,Remera unisex,XS,Azul,DTF,Tango,Proveedor A,155,9.24,8713.0,1838.0,609.0,Moto GBA,2520.0,2,24060.0,0.0,24060.0,48120.0,13855.88,10204.12,20408.25,4,Débito,0,Ninguno,4.3
1284,1226,2024-01-06,CUST0204,1,Quilmes,TiendaNube,Boca a boca,Ninguna,Remera unisex,M,Blanco,DTF UV,Minimalista,Proveedor C,157,9.5,8506.0,1658.0,424.0,Correo Argentino,3518.0,1,23950.0,0.0,23950.0,23950.0,15594.26,8355.74,8355.74,6,Crédito,0,Ninguno,4.6
1887,1807,2024-01-06,CUST0320,0,CABA,WhatsApp,IG Orgánico,Ninguna,Remera unisex,L,Azul,DTF,Vintage,Proveedor B,242,8.09,7536.0,3216.0,788.0,Retiro,0.0,2,21610.0,0.0,21610.0,43220.0,13493.58,8116.42,16232.84,2,Débito,0,Ninguno,4.1
408,388,2024-01-07,CUST0001,1,Quilmes,Instagram,IG Orgánico,Ninguna,Oversize,M,Azul,DTF,Vintage,Proveedor B,255,8.68,10623.0,3389.0,790.0,Correo Argentino,3882.0,1,33920.0,0.047,32340.0,32340.0,20901.57,11438.43,11438.43,7,Efectivo,0,Ninguno,3.9
457,434,2024-01-07,CUST0005,1,CABA,Feria,Boca a boca,Ninguna,Remera unisex,M,Negro,DTF,Tango,Proveedor A,218,9.41,8156.0,2891.0,629.0,Retiro,0.0,2,22200.0,0.0,22200.0,44400.0,13729.32,8470.68,16941.36,2,Crédito,0,Ninguno,4.6
946,905,2024-01-07,CUST0001,1,CABA,TiendaNube,Boca a boca,Ninguna,Oversize,M,Verde,DTF,Vintage,Proveedor A,282,9.09,8672.0,2530.0,802.0,Retiro,0.0,1,24950.0,0.0,24950.0,24950.0,14563.11,10386.89,10386.89,3,MercadoPago,0,Ninguno,3.8
1265,1209,2024-01-07,CUST0073,1,CABA,TiendaNube,Google Search,Ninguna,Oversize,L,Azul,DTF UV,Vintage,Proveedor A,171,8.62,7494.0,2978.0,346.0,Mensajería CABA,2826.0,3,22940.0,0.071,21320.0,63960.0,13236.22,8083.78,24251.34,2,Crédito,0,Ninguno,4.5
1744,1669,2024-01-07,CUST0001,1,CABA,TiendaNube,IG Orgánico,Ninguna,Tote bag,L,Azul,DTF UV,Rock,Proveedor B,215,8.44,4575.0,2732.0,639.0,Correo Argentino,3921.0,2,18300.0,0.0,18300.0,36600.0,11719.77,6580.23,13160.46,8,Crédito,0,Ninguno,4.2
471,447,2024-01-08,CUST0001,1,Quilmes,TiendaNube,Boca a boca,Ninguna,Oversize,XL,Gris,DTF,Rock,Proveedor A,244,8.85,7353.0,3864.0,358.0,Moto GBA,2923.0,1,29710.0,0.0,29710.0,29710.0,16656.54,13053.46,13053.46,3,MercadoPago,0,Ninguno,3.9
841,806,2024-01-08,CUST0004,1,GBA Sur,TiendaNube,Google Search,Ninguna,Buzo canguro,XL,Negro,Serigrafía,Vintage,Proveedor A,301,9.57,19028.0,1853.0,550.0,Correo Argentino,5120.0,1,43510.0,0.0,43510.0,43510.0,29435.06,14074.94,14074.94,6,Transferencia,0,Ninguno,4.5
899,861,2024-01-08,CUST0004,1,Quilmes,Instagram,IG Orgánico,Ninguna,Remera unisex,XL,Negro,Serigrafía,Conurbano Nipón,Proveedor A,222,9.03,7009.0,2648.0,487.0,Moto GBA,2775.0,1,25870.0,0.064,24220.0,24220.0,14922.93,9297.07,9297.07,4,Débito,0,Ninguno,4.9
1753,1678,2024-01-08,CUST0002,1,GBA Sur,Instagram,IG Orgánico,Ninguna,Oversize,M,Negro,DTF,Conurbano Nipón,Proveedor B,333,8.56,7291.0,2431.0,881.0,Moto GBA,2049.0,1,27310.0,0.0,27310.0,27310.0,15503.46,11806.54,11806.54,3,Transferencia,0,Ninguno,4.8
1800,1723,2024-01-08,CUST0011,1,Interior,Instagram,IG Orgánico,Ninguna,Remera mujer,XL,Negro,DTF,Tango,Proveedor A,151,9.32,7211.0,2053.0,481.0,Retiro,0.0,1,17580.0,0.0,17580.0,17580.0,11152.23,6427.77,6427.77,2,Crédito,0,Ninguno,4.3
333,317,2024-01-09,CUST0014,1,CABA,WhatsApp,IG Ads,Ninguna,Remera unisex,XL,Negro,DTF,Tango,Proveedor B,221,8.94,7506.0,3367.0,653.0,Moto GBA,3163.0,2,24000.0,0.0,24000.0,48000.0,15087.78,8912.22,17824.45,4,Crédito,0,Ninguno,5.0
564,535,2024-01-09,CUST0001,1,CABA,Instagram,IG Ads,Ninguna,Remera unisex,XL,Rojo,DTF,Rock,Proveedor B,223,8.62,7507.0,1972.0,756.0,Retiro,0.0,2,19350.0,0.0,19350.0,38700.0,12155.76,7194.24,14388.48,4,MercadoPago,0,Ninguno,4.2
172,166,2024-01-10,CUST0001,1,CABA,TiendaNube,Boca a boca,Ninguna,Remera unisex,XL,Negro,DTF,Vintage,Proveedor A,221,8.72,8861.0,3238.0,759.0,Moto GBA,3743.0,1,30070.0,0.0,30070.0,30070.0,18527.67,11542.33,11542.33,3,MercadoPago,0,Ninguno,4.3
245,233,2024-01-10,CUST0147,1,Quilmes,WhatsApp,Boca a boca,Ninguna,Remera unisex,S,Rojo,DTF,Tango,Proveedor B,225,8.29,7524.0,2517.0,715.0,Moto GBA,3093.0,2,24330.0,0.0,24330.0,48660.0,14168.31,10161.69,20323.39,4,MercadoPago,0,Ninguno,4.0
372,355,2024-01-11,CUST0131,1,GBA Sur,Instagram,IG Orgánico,Ninguna,Tote bag,M,Azul,DTF,Minimalista,Proveedor A,325,8.92,3917.0,2012.0,877.0,Correo Argentino,3807.0,1,20720.0,0.0,20720.0,20720.0,13507.84,7212.16,7212.16,4,MercadoPago,0,Ninguno,4.5
795,760,2024-01-11,CUST0005,1,GBA Sur,Instagram,IG Ads,Ninguna,Remera unisex,M,Negro,DTF,Conurbano Nipón,Proveedor B,282,9.07,7528.0,3012.0,392.0,Retiro,0.0,1,22260.0,0.0,22260.0,22260.0,13494.19,8765.81,8765.81,3,Efectivo,0,Ninguno,4.4
937,896,2024-01-11,CUST0065,1,Quilmes,TiendaNube,IG Orgánico,Ninguna,Tote bag,L,Rojo,DTF,Tipográfica,Proveedor A,208,8.68,4669.0,3993.0,697.0,Moto GBA,3264.0,1,21860.0,0.0,21860.0,21860.0,14429.42,7430.58,7430.58,2,MercadoPago,0,Ninguno,4.0
1074,1029,2024-01-11,CUST0002,1,GBA Sur,Instagram,IG Orgánico,Ninguna,Remera unisex,M,Negro,DTF,Rock,Proveedor A,137,8.89,6154.0,1944.0,577.0,Moto GBA,1929.0,3,16670.0,0.058,15710.0,47130.0,10538.46,5171.54,15514.62,2,Débito,0,Ninguno,4.5
1514,1444,2024-01-11,CUST0095,1,CABA,Feria,IG Orgánico,Ninguna,Remera mujer,L,Azul,DTF,Minimalista,Proveedor A,203,8.75,7968.0,2537.0,358.0,Mensajería CABA,3049.0,1,24470.0,0.0,24470.0,24470.0,15685.56,8784.44,8784.44,3,Débito,0,Ninguno,4.3
11,10,2024-01-12,CUST0001,1,CABA,Instagram,Google Search,Ninguna,Buzo canguro,XXL,Rojo,DTF,Minimalista,Proveedor A,306,9.47,19788.0,2934.0,539.0,Retiro,0.0,1,40600.0,0.0,40600.0,40600.0,26154.45,14445.55,14445.55,3,Crédito,0,Ninguno,4.1
641,612,2024-01-12,CUST0002,1,CABA,TiendaNube,Boca a boca,Ninguna,Oversize,L,Blanco,DTF,Vintage,Proveedor A,279,8.69,7910.0,3198.0,672.0,Retiro,0.0,1,23480.0,0.0,23480.0,23480.0,14200.0,9280.0,9280.0,2,Transferencia,1,Deformación,3.3
883,845,2024-01-12,CUST0001,1,Quilmes,TiendaNube,IG Orgánico,Ninguna,Remera mujer,L,Blanco,DTF,Minimalista,Proveedor B,184,8.38,7550.0,2605.0,497.0,Moto GBA,2064.0,1,24410.0,0.0,24410.0,24410.0,14262.31,10147.69,10147.69,5,Efectivo,0,Ninguno,4.2
1747,1672,2024-01-12,CUST0022,1,CABA,Feria,IG Orgánico,Ninguna,Remera unisex,XXL,Azul,Serigrafía,Vintage,Proveedor A,109,9.17,6904.0,2823.0,551.0,Moto GBA,3541.0,3,20730.0,0.0,20730.0,62190.0,12458.3,8271.7,24815.09,3,Crédito,0,Ninguno,4.5
1050,1005,2024-01-13,CUST0002,1,GBA Sur,WhatsApp,IG Ads,Ninguna,Remera unisex,M,Blanco,DTF,Tango,Proveedor A,306,8.61,8200.0,3445.0,337.0,Retiro,0.0,1,22610.0,0.0,22610.0,22610.0,14611.36,7998.64,7998.64,1,MercadoPago,0,Ninguno,4.4
1203,1151,2024-01-13,CUST0001,1,GBA Sur,WhatsApp,IG Ads,Ninguna,Oversize,L,Blanco,DTF,Vintage,Proveedor C,294,10.7,7153.0,2636.0,672.0,Moto GBA,3446.0,1,27280.0,0.0,27280.0,27280.0,17048.72,10231.28,10231.28,6,MercadoPago,0,Ninguno,4.2
1814,1737,2024-01-13,CUST0015,1,CABA,Instagram,IG Ads,Ninguna,Remera unisex,S,Azul,DTF,Tango,Proveedor A,169,8.81,6008.0,3985.0,460.0,Correo Argentino,3395.0,1,23620.0,0.0,23620.0,23620.0,15339.01,8280.99,8280.99,6,MercadoPago,0,Ninguno,4.2
378,361,2024-01-14,CUST0070,1,Quilmes,TiendaNube,Google Search,Ninguna,Remera mujer,L,Azul,DTF,Minimalista,Proveedor C,208,10.85,7837.0,3601.0,733.0,Mensajería CABA,3598.0,1,29320.0,0.0,29320.0,29320.0,18021.24,11298.76,11298.76,6,MercadoPago,0,Ninguno,4.2
926,440,2024-01-14,CUST0263,0,GBA Sur,Instagram,IG Orgánico,Ninguna,Remera unisex,M,Negro,Serigrafía,Tango,Proveedor C,92,11.07,7827.0,1575.0,636.0,Moto GBA,2881.0,1,20550.0,0.0,20550.0,20550.0,13937.36,6612.64,6612.64,5,MercadoPago,0,Ninguno,3.8
1577,1506,2024-01-14,CUST0001,1,CABA,Feria,IG Ads,Ninguna,Oversize,M,Blanco,DTF,Rock,Proveedor B,166,7.68,9972.0,2246.0,356.0,Retiro,0.0,4,22030.0,0.0,22030.0,88120.0,13851.9,8178.1,32712.4,4,Débito,0,Ninguno,4.8
99,96,2024-01-15,CUST0077,1,GBA Sur,Instagram,IG Orgánico,Ninguna,Remera unisex,L,Azul,DTF,Tango,Proveedor C,214,10.43,6165.0,3096.0,521.0,Moto GBA,3020.0,2,21200.0,0.0,21200.0,42400.0,13527.14,7672.86,15345.73,5,MercadoPago,0,Ninguno,4.8
238,227,2024-01-15,CUST0001,1,CABA,Feria,Boca a boca,Ninguna,Remera mujer,XL,Negro,Serigrafía,Conurbano Nipón,Proveedor C,201,9.87,8156.0,3696.0,370.0,Mensajería CABA,3123.0,2,24160.0,0.0,24160.0,48320.0,15763.45,8396.55,16793.1,4,Transferencia,0,Ninguno,4.4
313,299,2024-01-15,CUST0007,1,Quilmes,Instagram,Boca a boca,Ninguna,Tote bag,M,Azul,DTF,Rock,Proveedor A,308,8.68,3465.0,2175.0,444.0,Retiro,0.0,1,13590.0,0.0,13590.0,13590.0,8755.76,4834.24,4834.24,2,Transferencia,0,Ninguno,4.3
875,838,2024-01-15,CUST0064,1,Interior,Instagram,Google Search,Ninguna,Tote bag,XXL,Rojo,DTF,Vintage,Proveedor A,276,8.77,4248.0,3715.0,386.0,Moto GBA,3071.0,2,19150.0,0.0,19150.0,38300.0,12305.51,6844.49,13688.99,2,MercadoPago,0,Ninguno,4.9
1048,1003,2024-01-15,CUST0003,1,GBA Sur,WhatsApp,IG Orgánico,Ninguna,Remera mujer,L,Blanco,Serigrafía,Rock,Proveedor B,130,9.28,6326.0,2729.0,470.0,Mensajería CABA,3916.0,1,23520.0,0.051,22320.0,22320.0,14645.82,7674.18,7674.18,4,Efectivo,0,Ninguno,4.4
1202,1150,2024-01-15,CUST0007,1,GBA Sur,TiendaNube,IG Orgánico,Ninguna,Remera mujer,M,Blanco,DTF,Tango,Proveedor B,134,8.33,6182.0,1557.0,324.0,Moto GBA,3129.0,1,19720.0,0.0,19720.0,19720.0,12304.42,7415.58,7415.58,3,Débito,0,Ninguno,4.5
1503,1433,2024-01-15,CUST1142,0,GBA Sur,Instagram,IG Orgánico,Ninguna,Oversize,M,Blanco,Serigrafía,Minimalista,Proveedor C,156,10.73,8486.0,3851.0,343.0,Retiro,0.0,1,25810.0,0.06,24250.0,24250.0,14353.77,9896.23,9896.23,4,Crédito,0,Ninguno,4.5
1971,1885,2024-01-15,CUST0763,0,Quilmes,Feria,Feria,Ninguna,Remera unisex,M,Gris,DTF,Tango,Proveedor A,214,8.65,7763.0,3375.0,776.0,Correo Argentino,4876.0,3,25450.0,0.0,25450.0,76350.0,15385.92,10064.08,30192.25,5,MercadoPago,0,Ninguno,3.9
357,341,2024-01-16,CUST0265,1,Quilmes,Instagram,IG Ads,Ninguna,Buzo canguro,XL,Verde,DTF,Conurbano Nipón,Proveedor B,340,8.1,24246.0,2323.0,479.0,Correo Argentino,3357.0,1,52640.0,0.0,52640.0,52640.0,33157.52,19482.48,19482.48,4,Débito,0,Ninguno,4.3
516,492,2024-01-16,CUST0369,1,Quilmes,WhatsApp,IG Orgánico,Ninguna,Remera mujer,M,Negro,DTF,Rock,Proveedor A,222,8.61,8313.0,3286.0,398.0,Moto GBA,1807.0,1,25570.0,0.058,24090.0,24090.0,15716.05,8373.95,8373.95,3,Transferencia,0,Ninguno,4.2
879,841,2024-01-16,CUST0013,1,GBA Sur,Instagram,Boca a boca,Ninguna,Remera unisex,M,Azul,DTF,Tango,Proveedor C,249,10.93,6374.0,3427.0,471.0,Correo Argentino,3920.0,1,29300.0,0.0,29300.0,29300.0,16908.92,12391.08,12391.08,8,Débito,0,Ninguno,4.1
902,864,2024-01-16,CUST0056,1,Interior,WhatsApp,IG Orgánico,Ninguna,Oversize,M,Negro,DTF,Rock,Proveedor A,199,9.66,10092.0,2330.0,706.0,Moto GBA,4122.0,1,30780.0,0.116,27210.0,27210.0,19171.27,8038.73,8038.73,4,MercadoPago,0,Ninguno,4.4
1970,941,2024-01-16,CUST0004,1,Quilmes,TiendaNube,Google Search,Ninguna,Buzo canguro,L,Azul,DTF,Minimalista,Proveedor B,317,8.13,25827.0,2817.0,359.0,Moto GBA,3355.0,3,46770.0,0.0,46770.0,140310.0,32698.94,14071.06,42213.17,5,Crédito,0,Ninguno,4.5
1697,1624,2024-01-16,CUST0625,0,Quilmes,WhatsApp,IG Ads,Ninguna,Remera mujer,XL,Gris,DTF,Minimalista,Proveedor B,215,9.31,8185.0,1813.0,499.0,Moto GBA,2809.0,2,21570.0,0.0,21570.0,43140.0,13904.7,7665.3,15330.6,5,Transferencia,0,Ninguno,4.0
558,529,2024-01-17,CUST0002,1,GBA Sur,Feria,IG Orgánico,Ninguna,Buzo canguro,XL,Blanco,DTF,Minimalista,Proveedor B,329,8.45,25829.0,2439.0,777.0,Moto GBA,1908.0,1,51590.0,0.0,51590.0,51590.0,33733.11,17856.89,17856.89,3,Crédito,0,Ninguno,4.0
291,279,2024-01-18,CUST0015,1,Interior,WhatsApp,IG Orgánico,Ninguna,Remera mujer,M,Rojo,DTF,Vintage,Proveedor B,233,7.99,6588.0,3134.0,526.0,Mensajería CABA,3238.0,1,24380.0,0.0,24380.0,24380.0,15350.01,9029.99,9029.99,4,MercadoPago,0,Ninguno,4.9
1160,1111,2024-01-18,CUST0002,1,GBA Sur,Instagram,IG Ads,Ninguna,Oversize,M,Negro,DTF,Tango,Proveedor A,254,8.81,10098.0,2119.0,327.0,Correo Argentino,2928.0,3,26210.0,0.0,26210.0,78630.0,15759.52,10450.48,31351.44,3,Crédito,0,Ninguno,4.5
1340,1278,2024-01-18,CUST0021,1,GBA Sur,Instagram,IG Ads,Ninguna,Remera mujer,M,Negro,DTF,Rock,Proveedor B,220,8.59,8576.0,1721.0,851.0,Mensajería CABA,4634.0,1,29030.0,0.0,29030.0,29030.0,17675.67,11354.33,11354.33,3,Débito,0,Ninguno,4.4
1436,1367,2024-01-18,CUST0004,1,Quilmes,Feria,Google Search,Ninguna,Remera mujer,XXL,Negro,DTF,Tipográfica,Proveedor A,218,9.27,7023.0,3637.0,597.0,Retiro,0.0,1,20910.0,0.0,20910.0,20910.0,13280.64,7629.36,7629.36,2,MercadoPago,0,Ninguno,4.6
1455,1386,2024-01-18,CUST0461,1,CABA,Feria,Google Search,Ninguna,Tote bag,M,Negro,DTF,Rock,Proveedor B,282,8.0,4567.0,2605.0,588.0,Retiro,0.0,1,17500.0,0.0,17500.0,17500.0,10018.34,7481.66,7481.66,2,MercadoPago,0,Ninguno,4.7
101,98,2024-01-19,CUST0315,0,CABA,WhatsApp,IG Ads,Ninguna,Tote bag,M,Azul,DTF,Conurbano Nipón,Proveedor C,266,9.18,3254.0,2250.0,629.0,Retiro,0.0,1,13450.0,0.0,13450.0,13450.0,8577.33,4872.67,4872.67,3,Transferencia,0,Ninguno,3.8
975,463,2024-01-19,CUST0003,1,GBA Sur,Instagram,IG Ads,Ninguna,Oversize,XXL,Negro,DTF,Tango,Proveedor A,270,8.73,8547.0,1728.0,369.0,Mensajería CABA,3161.0,2,25930.0,0.0,25930.0,51860.0,14584.51,11345.49,22690.98,3,Débito,0,Ninguno,5.0
1234,1180,2024-01-19,CUST0001,1,GBA Sur,WhatsApp,IG Ads,Ninguna,Oversize,XS,Blanco,DTF,Rock,Proveedor B,266,8.66,7076.0,2719.0,865.0,Moto GBA,3216.0,1,25610.0,0.0,25610.0,25610.0,16179.08,9430.92,9430.92,3,MercadoPago,0,Ninguno,4.7
1248,1193,2024-01-19,CUST0004,1,GBA Sur,TiendaNube,Google Search,Ninguna,Remera mujer,S,Negro,DTF UV,Conurbano Nipón,Proveedor A,198,9.14,6845.0,2596.0,814.0,Retiro,0.0,1,18570.0,0.0,18570.0,18570.0,12061.2,6508.8,6508.8,2,MercadoPago,0,Ninguno,4.6
1301,1240,2024-01-19,CUST0005,1,Quilmes,Feria,IG Orgánico,Ninguna,Remera mujer,M,Verde,DTF,Tipográfica,Proveedor B,217,9.05,7194.0,3562.0,346.0,Correo Argentino,2582.0,5,23230.0,0.0,23230.0,116150.0,13580.82,9649.18,48245.92,7,Débito,0,Ninguno,4.1
1289,615,2024-01-20,CUST0262,0,GBA Sur,Instagram,Google Search,Ninguna,Remera mujer,M,Azul,DTF,Vintage,Proveedor A,246,8.68,8425.0,3473.0,813.0,Retiro,0.0,1,23950.0,0.0,23950.0,23950.0,14844.89,9105.11,9105.11,2,MercadoPago,0,Ninguno,3.9
765,732,2024-01-20,CUST0001,1,Quilmes,WhatsApp,Boca a boca,Ninguna,Buzo canguro,XL,Gris,DTF UV,Vintage,Proveedor A,303,9.17,18566.0,1956.0,607.0,Moto GBA,2289.0,1,41690.0,0.0,41690.0,41690.0,26199.22,15490.78,15490.78,2,Débito,0,Ninguno,5.0
1020,976,2024-01-20,CUST0067,1,CABA,TiendaNube,Boca a boca,Ninguna,Tote bag,XXL,Azul,DTF,Conurbano Nipón,Proveedor C,285,10.82,4585.0,2116.0,863.0,Moto GBA,4070.0,1,24480.0,0.0,24480.0,24480.0,14714.53,9765.47,9765.47,4,Transferencia,0,Ninguno,4.2
43,41,2024-01-21,CUST0008,1,Quilmes,WhatsApp,IG Ads,Ninguna,Remera unisex,XL,Azul,DTF,Rock,Proveedor B,215,7.92,7396.0,2821.0,611.0,Correo Argentino,3166.0,2,22720.0,0.0,22720.0,45440.0,14112.52,8607.48,17214.97,7,Crédito,0,Ninguno,4.4
286,274,2024-01-21,CUST0002,1,CABA,WhatsApp,IG Ads,Ninguna,Remera unisex,L,Azul,DTF,Rock,Proveedor C,240,10.67,8898.0,2919.0,751.0,Correo Argentino,5048.0,2,27700.0,0.0,27700.0,55400.0,17653.54,10046.46,20092.92,7,Efectivo,0,Ninguno,3.9
1904,1824,2024-01-21,CUST0002,1,GBA Sur,Instagram,Google Search,Ninguna,Remera mujer,XL,Negro,DTF,Conurbano Nipón,Proveedor A,135,9.16,7843.0,1520.0,396.0,Mensajería CABA,3201.0,1,23530.0,0.0,23530.0,23530.0,14196.92,9333.08,9333.08,2,Transferencia,0,Ninguno,4.4
146,140,2024-01-22,CUST0100,1,Quilmes,WhatsApp,IG Orgánico,Ninguna,Buzo canguro,XL,Azul,DTF,Rock,Proveedor B,238,8.15,22101.0,2440.0,434.0,Moto GBA,3164.0,1,42650.0,0.0,42650.0,42650.0,30077.52,12572.48,12572.48,4,Transferencia,0,Ninguno,4.1
292,280,2024-01-22,CUST0002,1,CABA,Instagram,IG Ads,Ninguna,Remera unisex,M,Negro,DTF,Rock,Proveedor C,242,10.89,8809.0,2231.0,563.0,Retiro,0.0,2,21180.0,0.0,21180.0,42360.0,14237.91,6942.09,13884.17,3,Crédito,0,Ninguno,4.6
629,600,2024-01-22,CUST0007,1,Quilmes,WhatsApp,IG Ads,Ninguna,Remera unisex,L,Azul,DTF,Vintage,Proveedor C,160,11.28,7146.0,3736.0,718.0,Retiro,0.0,1,21640.0,0.0,21640.0,21640.0,13405.74,8234.26,8234.26,4,Débito,0,Ninguno,4.0
857,822,2024-01-22,CUST0001,1,Quilmes,Instagram,Boca a boca,Ninguna,Oversize,XL,Blanco,DTF,Conurbano Nipón,Proveedor B,246,8.0,8688.0,1673.0,825.0,Moto GBA,1950.0,1,25940.0,0.0,25940.0,25940.0,15106.58,10833.42,10833.42,4,Débito,0,Ninguno,4.7
1031,987,2024-01-22,CUST0001,1,Quilmes,Instagram,Boca a boca,Ninguna,Remera unisex,M,Azul,DTF,Vintage,Proveedor A,296,9.98,7589.0,2497.0,793.0,Moto GBA,2163.0,1,23520.0,0.0,23520.0,23520.0,15998.51,7521.49,7521.49,3,Débito,0,Ninguno,3.7
1403,1336,2024-01-22,CUST1177,0,GBA Sur,TiendaNube,IG Ads,Ninguna,Buzo canguro,L,Rojo,DTF,Minimalista,Proveedor A,202,9.23,18980.0,1517.0,512.0,Moto GBA,2324.0,3,34040.0,0.099,30680.0,92040.0,23651.43,7028.57,21085.71,4,Crédito,0,Ninguno,4.6
1651,1580,2024-01-22,CUST0058,1,Quilmes,Feria,IG Orgánico,Ninguna,Remera mujer,M,Negro,DTF,Tango,Proveedor A,172,9.51,7852.0,3727.0,549.0,Correo Argentino,3098.0,3,22460.0,0.0,22460.0,67380.0,14796.05,7663.95,22991.84,5,Crédito,0,Ninguno,4.6
611,582,2024-01-23,CUST0121,1,GBA Sur,Instagram,Google Search,Ninguna,Oversize,M,Blanco,DTF,Vintage,Proveedor A,262,9.04,9076.0,2444.0,685.0,Correo Argentino,3183.0,1,29510.0,0.0,29510.0,29510.0,17760.01,11749.99,11749.99,4,Transferencia,0,Ninguno,4.6
1417,677,2024-01-23,CUST0002,1,GBA Sur,Instagram,IG Orgánico,Ninguna,Tote bag,S,Negro,DTF,Tango,Proveedor A,211,9.27,4763.0,3441.0,623.0,Moto GBA,3374.0,1,24120.0,0.057,22740.0,22740.0,14152.65,8587.35,8587.35,3,MercadoPago,0,Ninguno,4.5
1014,970,2024-01-23,CUST0003,1,Quilmes,WhatsApp,IG Orgánico,Ninguna,Remera unisex,S,Blanco,DTF,Conurbano Nipón,Proveedor A,254,9.39,8255.0,2044.0,726.0,Mensajería CABA,3800.0,1,29380.0,0.0,29380.0,29380.0,17210.84,12169.16,12169.16,4,MercadoPago,0,Ninguno,4.7
